datetime,text,username,target
2022-04-09 22:33:47+00:00,"Comunque posso dire che queste continue vessazioni del pelato contro Anna Pettinelli sono veramente oscene? In un altro contesto sarebbero già partite denunce, just saying #amici21 #zerbi #pettinelli ",AliceSpasiano, 
2022-04-09 22:29:59+00:00,"aisha eliminata, nunzio e crytical possono uscire entrambi anche ora, il pelato e lo schitarrato non sono mort1 e in + come ospite ci sarà il santogiovese, quindi buonanotte a me questa puntata non interessa più ",tsunamidieci, 
2022-04-09 22:28:23+00:00," 2/2 3) La battuta era “aspettiamo il tuo Soldato Jane 2” dove Demi Moore aveva i capelli rasati. Non mi pare offensiva; 4) Sono pelato da quando ho 18 anni e mi sento tutto tranne che malato; 5) la violenza non è mai accettabile, a maggior ragione davanti a milioni di persone.",fede_capellaro, 
2022-04-09 22:26:38+00:00, Quanto ricordi da piccolo “nano nano” a me piaceva lei 😍😍😍,beppe_peppe7, 
2022-04-09 22:26:02+00:00,Non Nunzio che asfalta il pelato in diretta nazionale 😂😂✈️✈️ #Amici21 ,buuski_s, 
2022-04-09 22:24:37+00:00, Il nano e il ballerino,Sozzi3Sozzi, 
2022-04-09 22:20:24+00:00, La pelata solo quella hanno in comune 😂 ,VScanuforever, 
2022-04-09 22:19:06+00:00, La pianta grassa all'ingresso mi emoziona più di #Alex,gwenandtheblack, 
2022-04-09 22:18:39+00:00,Frassica ha rotto quasi più di muretto e del pelato #amici21,madamemaive, 
2022-04-09 22:17:38+00:00,vi dimenticate di quando zerbi ha cercato di affossare sissi assegnandole la cura e invece è lei che ha affossato quel pelato.. dopo una figura di merda clamorosa ora non osa più metterla in dubbio,polteagayst, 
2022-04-09 22:12:57+00:00, rispetto un solo pelato e si chiama luciano spalletti,vettealatte, 
2022-04-09 22:12:07+00:00,Trattamento naturale per il grasso della pancia ,RimediCellulite, 
2022-04-09 22:11:49+00:00,Questo è il crytical show e pelato e giudici si devono spaventare #Amici21 ,guestofworld_, 
2022-04-09 22:11:29+00:00, si farà anche lui la pelata,brillebbastagds, 
2022-04-09 22:11:27+00:00,L’assurdità dei modi e delle parole con cui il pelato e la maestra dai capelli bianchi si rivolgono ai ragazzi è imbarazzante. Da anni. #Amici21,mattedamico, 
2022-04-09 22:10:07+00:00,mi viene da piangere voglio vedere il nano,aleisfalling, 
2022-04-09 22:09:14+00:00,"comunque ormai sto odiando questo dare voti alla squadra del pelato a priori, mi hanno rotto il cazzo e come squadra intendo Luigi perché schiera solo lui e solo quando si ricorda di Luca, ogni tanto, lo considera 🙄 #amici21",_browniescrive, 
2022-04-09 22:08:53+00:00,sono tutti pieni del pelato.. io un po’ li capisco,senzaglutjne, 
2022-04-09 22:08:47+00:00," Asfaltato in successione da Lorella, Alex e Nunzio.... Prendi e porta a casa, pelato",Iovanka16, 
2022-04-09 22:08:31+00:00,nunzio e alex odiano così tanto il pelato,dusktilldowy, 
2022-04-09 22:08:27+00:00,palese sangiovann1 il prossimo anno lo vedremo pelato,thatsmyegoxx, 
2022-04-09 22:07:52+00:00,esigo fancam nunzio x alex da spammare ogni volta che il pelato apre bocca,dusktilldowy, 
2022-04-09 22:07:35+00:00,per me è il fatto che ormai il pelato venga asfaltato pure dai ballerini 😭 lo odiano tutti #Amici21,_TPWK_H, 
2022-04-09 22:07:25+00:00,"Nunzio piscia in testa alla metà delle persone in quello studio, prima fra tutte il pelato #Amici21",aboutme____38, 
2022-04-09 22:07:13+00:00,"Nunzio ha asfaltato il pelato e l’ha fatto per Alex, per Fra e per tutti noi #Amici21",maparliamodiCC, 
