datetime,text,username
2022-07-21 10:01:36+00:00,devo continuare nana,azzurrajess
2022-07-21 10:00:57+00:00,"@GiovanniToti @renatobrunetta Ma certo,prenditi il nano.",ESSelisabetta
2022-07-21 10:00:47+00:00,"@FedericaPito Tutt'altro che grassa, direi che sei in piena forma e anche ben fatta. Buongiorno",Giancar63434921
2022-07-21 10:00:30+00:00,"@Cristianocacci7 @Adnkronos Certo un nano che parla de ""ristretti e appiattiti"" fa ride",Tuseinatagrande
2022-07-21 10:00:16+00:00,@MariangelaSalv5 @MetalHe69092042 Farà il nano mastro 😂,blanchewitch17
2022-07-21 09:59:40+00:00,"@berlusconi Ti vorrei dire che piaga sei per il Paese, ma le parole non bastano. L’unica consolazione è che sai bene anche tu di essere con un piede nella tomba e ti sei voluto concedere un ultimo ballo, non importandone come sempre, che è sulla pelle del Paese. Ora RIP 🪦, volgare nano di m",vezzo13038007
2022-07-21 09:58:47+00:00,@MetalHe69092042 Il nano di merda deve solo passare un guaio nero ….,valerio_doriano
2022-07-21 09:57:59+00:00,ultimamente ho un problema con il mio corpo che non mi piace e mi sembra grasso anche se obbiettivamente sto dimagrendo e non so come tornare a farmelo piacere,jareakh
