datetime,text,username
2022-07-21 13:02:35+00:00,"@PBerizzi Quando, voi cosiddetti intellettuali, capirete che finché non si rimuove il peccato originale che è iniziato con l'avvento del nano al potere, i suoi figliastri ce li sorbiremo vita natural durante?",DragoRiviera
2022-07-21 13:00:59+00:00,@mariegookie poi gli chiedi come dovrebbe vestirsi allora una persona grassa secondo queste eccelse regole di buon gusto e ti mostrano : https://t.co/ujLFauwK3c,jimimsoul
2022-07-21 13:00:46+00:00,Vai a casa nano di merda e porta con te il bibitaro poltronaio   !!!!!!!!!!!! https://t.co/qslEOqlvgt,PredovanF
2022-07-21 13:00:35+00:00,@felicya2000 Il nano malvagio,katrinyanuo
2022-07-21 12:58:24+00:00,"@FedericaPito Non sei grassa. Stai benissimo!
Complimenti!",giutris
2022-07-21 12:56:15+00:00,@ViVilaVitaOra Un nano da giardino è già stato detto?,AlexAle2727
2022-07-21 12:55:39+00:00,"@AlviseAndolina @AnnickQuemper @_Nico_Piro_ @Sir_SamWise Eo savevo xè sempre cussì.

Basta che no ti fa ea fine del vedeo grasso",SerenoSteno
2022-07-21 12:53:16+00:00,"ho ritrovato in una chat una mia vecchia storia in cui mi sfogavo dicendo che la mia famiglia mi chiamava ""grassa"" quando ero a 62kg e mi sono resa conto che è da allora che provo disagio verso il mio corpo ma lo sto affrontando meglio poco a poco.",wasserkerker
2022-07-21 12:53:15+00:00,"@BarbascuraX @matteosalvinimi Chi mi sta più sul cazzo??un ciccione idiota,bugiardo opportunista che prende 20k al mese,o un finto sinistro,radical chic,finto reazionario,perbenista,inetto,politicizzato,scienziatoh,no-reazione avversa??",Cryptoita1
2022-07-21 12:53:11+00:00,"@GiorgiaMeloni @Capezzone Certo che avere voi come alternativa c'è da rimanere schifati!!! Vi spacciate per novità ma campate di politica da quasi 30 anni senza avere mai fatto niente di niente e dopo che tu, cara Giorgina, hai virato le porcate più assurde e vergognose per assecondare il nano di Arcore",Gianchi07785858
