datetime,text,username
2022-07-21 13:10:43+00:00,@jacopo_iacoboni Beh c’è anche il merito di milioni di coglioni nostri connazionali! Chi sono gli imbecilli che votano Salvini? O Berlusconi? Eppure i sondaggi li danno in maggioranza.. non è Putin.. è ignoranza grassa..,MarcoRivax
2022-07-21 13:08:28+00:00,"@MauritiOstanzo L’account perfetto:fusione tra uno senza collo,uno senza capelli e un nano",matteo23___
2022-07-21 13:07:56+00:00,"@Pontifex_it Bisogna ascoltare la voce di Dio! Il creato non ha nulla da dirci che già non ci dica il Creatore. Io sono l'essenziale! Il vostro grasso spirituale  vi acceca, la vostra egoistica voracità non vi sazia perché Io sono il Cibo che non inquina la terra !",Trama_Zero
2022-07-21 13:07:06+00:00,"@Paskalaw Purtroppo dobbiamo prepararci ad un governo guidato dalla zarina con al traino anche lefelp ed il nano di Arcore. Il meglio del meglio direi per mandare definitivamente l'Italia a picco.
#ConteFaiSchifo",christiangius
2022-07-21 13:05:55+00:00,@Beaoh11 Ho solo immaginato il dialogo tra il nano malefico e quello bastardo Bruno🤣🤣🤣 ....permettimi con sto caldo,dtb_robby
2022-07-21 13:05:47+00:00,"ho visto il live action di nana, che carine😭💕 https://t.co/KAGXtRoJla",ipiedidikazu
2022-07-21 13:05:27+00:00,@ViVilaVitaOra Concordo. Ritiro il nano e sostituisco con puffo,AlexAle2727
2022-07-21 13:05:22+00:00,Finalmente resta un solo nano…😅😅😅 https://t.co/b59s8bUVqx,DigennalL
2022-07-21 13:05:07+00:00,@_ElPrincipe22 Io una domanda invece la farei a quel demente di direttore sportivo che abbiamo e/o ai Minus come te che gli leccano palle e pelata da anni https://t.co/fdaAwR7aur,daifaniente
2022-07-21 13:05:00+00:00,"@felicya2000 col Pd, ne hanno di tutte le risme, tra neri musulmani persino le sardine, c'è posto anche per lui il nano malefico",BeneWalter
2022-07-21 13:04:28+00:00,"Non dileggiamo la #Ronzulli, con le radiazioni dovute alle minchiate che avrà dovuto ascoltare dal nano arcoriano potrebbe chiedere l'invalidità civile.",LSveglia
2022-07-21 13:04:06+00:00,"aperta la storia ig di conoscente eterazza ed è spuntato un pelato con orecchini a cerchio enormi e smalto nero, sento una necessità fortissima di lavarmi gli occhi con la candeggina",Y0URIVYGR0WSS
2022-07-21 13:02:35+00:00,"@PBerizzi Quando, voi cosiddetti intellettuali, capirete che finché non si rimuove il peccato originale che è iniziato con l'avvento del nano al potere, i suoi figliastri ce li sorbiremo vita natural durante?",DragoRiviera
