datetime,text,username
2022-07-21 09:49:27+00:00,"@PoldoXII @Berto79832 @SulDanubioBlu persone per la loro mente e non i loro corpi). comunque nel tweet facevo riferimento ad un problema di grassofobia in generale, che prescinde dal sesso/età/sessualità/stempiatezza, per il quale grasso = malattia, magrezza = bellezza (quando anche dietro la magrezza si possono",birrettee
2022-07-21 09:49:06+00:00,"@fattoquotidiano Vai nano malefico, quando dicesti a febbraio:"" li metterò a pane e acqua"" precludendo ogni attività a chi resisteva ai proclami della vaccinazione... E adesso che il tuo potere è alla fine, riascoltare ""un giudice"" parla di te, ante litteram....",zosima16
2022-07-21 09:48:41+00:00,@dottorbarbieri Nessuno se ne accorgerà della piccola stupida ed inutile presenza del nano...,Maestri1Dario
2022-07-21 09:48:36+00:00,"@BoccardoReal @GrandeP70338720 @MicheleGuetta @C3vLocke @mrk4m1 Io su questo sono misesiano e credo che il passaggio all'ancap sia quasi utopico, ma ogni occhio che riusciamo ad aprire è un ulteriore passo in direzione del miniarchismo che, visti tempi e contesto, è già grasso che cola",NoRulerZ2
2022-07-21 09:48:21+00:00,@la_nana_bianca Ciao Cri😘... andiamo qualche mese in Alaska al fresco!😅,lasognatrice02
2022-07-21 09:48:03+00:00,@FedericaPito grassa? ti scoperei per giorni interi,antoniantoni311
2022-07-21 09:47:59+00:00,@AntonelloAng @myrtamerlino Adesso sto nano di merda li voglio vedere in giro senza scorta .poi vediamo dove gli mettono i tamponi,Riccard29729642
2022-07-21 09:47:17+00:00,"@dottorbarbieri Il nano malefico andasse a zappare, visto che con i tamponi voleva rendere lo stress agli italiani ,gli umani eh Brunetta immagina se hai davanti Dio 👁",ElKrish3
2022-07-21 09:47:16+00:00,"@MattOneMouse Precisiamo che è un orchetto , meglio noto come Goblin in altre dimensioni fantasy, e non un nano.",r64479688
2022-07-21 09:47:14+00:00,Il nano e la inutile Gelmini lasciano forza Italia. Nascondere di essere piddini non era più fattibile...,blanchewitch17
2022-07-21 09:46:42+00:00,"@dottorbarbieri Ciao, non ci mancherai nano malefico.",ezeta67
2022-07-21 09:46:26+00:00,@dottorbarbieri Che lasci anche la vita terrena il nano di merda del demonio.,unfruitfruitful
2022-07-21 09:46:14+00:00,"Pare che si sia candidato nel ""partito"" di #Biancaneve come l'ottavo nano il #carognoso https://t.co/tCEIEH8d4s",montagna02
2022-07-21 09:45:40+00:00,@SIPARISipari Ci sono altri 10 che stanno scrivendo lettere e credimi questi sono solo alcuni commenti che troverai sulle pagine fb del nano e dei suoi sudditi! https://t.co/nqLWYg8YmF,colombomauro
2022-07-21 09:45:24+00:00,"@fattoquotidiano Cazzo, anche il nano",GiorgioPiazzano
2022-07-21 09:44:57+00:00,@borghi_claudio Brunetta = nano di merda,CruxCristore
2022-07-21 09:44:48+00:00,"@EsercitoCrucian Cazzo …, anche il nano?",GiorgioPiazzano
