datetime,text,username
2022-07-21 13:02:35+00:00,"@PBerizzi Quando, voi cosiddetti intellettuali, capirete che finché non si rimuove il peccato originale che è iniziato con l'avvento del nano al potere, i suoi figliastri ce li sorbiremo vita natural durante?",DragoRiviera
2022-07-21 13:00:59+00:00,@mariegookie poi gli chiedi come dovrebbe vestirsi allora una persona grassa secondo queste eccelse regole di buon gusto e ti mostrano : https://t.co/ujLFauwK3c,jimimsoul
2022-07-21 13:00:46+00:00,Vai a casa nano di merda e porta con te il bibitaro poltronaio   !!!!!!!!!!!! https://t.co/qslEOqlvgt,PredovanF
2022-07-21 13:00:35+00:00,@felicya2000 Il nano malvagio,katrinyanuo
2022-07-21 12:58:24+00:00,"@FedericaPito Non sei grassa. Stai benissimo!
Complimenti!",giutris
