datetime,text,username
2022-07-20 16:40:35+00:00,"@Stronza caro ciccione,
ricordo recenti estati perfino fresche e piovose
grandissimo stronzo

dateme retta...
""Guardate quest'uomo: sembra un deficiente e parla come un deficiente, ma non lasciatevi ingannare: è veramente deficiente!“©
(Groucho Marx) https://t.co/SE9CGD6tMS",pef_lebowski
2022-07-20 16:39:47+00:00,@berlusconi E adesso i moderati e i governisti di Forza Italia che fanno? Seguiranno ancora il vecchio nano rimbambito e amico di Putin che si è appiattito sulla linea populista e estremista del mentecatto e servo di Putin Salvini?,LondonUcraina76
