datetime,text,username
2022-07-21 10:01:36+00:00,devo continuare nana,azzurrajess
2022-07-21 10:00:57+00:00,"@GiovanniToti @renatobrunetta Ma certo,prenditi il nano.",ESSelisabetta
2022-07-21 10:00:47+00:00,"@FedericaPito Tutt'altro che grassa, direi che sei in piena forma e anche ben fatta. Buongiorno",Giancar63434921
2022-07-21 10:00:30+00:00,"@Cristianocacci7 @Adnkronos Certo un nano che parla de ""ristretti e appiattiti"" fa ride",Tuseinatagrande
2022-07-21 10:00:16+00:00,@MariangelaSalv5 @MetalHe69092042 Farà il nano mastro 😂,blanchewitch17
2022-07-21 09:59:40+00:00,"@berlusconi Ti vorrei dire che piaga sei per il Paese, ma le parole non bastano. L’unica consolazione è che sai bene anche tu di essere con un piede nella tomba e ti sei voluto concedere un ultimo ballo, non importandone come sempre, che è sulla pelle del Paese. Ora RIP 🪦, volgare nano di m",vezzo13038007
2022-07-21 09:58:47+00:00,@MetalHe69092042 Il nano di merda deve solo passare un guaio nero ….,valerio_doriano
2022-07-21 09:57:59+00:00,ultimamente ho un problema con il mio corpo che non mi piace e mi sembra grasso anche se obbiettivamente sto dimagrendo e non so come tornare a farmelo piacere,jareakh
2022-07-21 09:56:20+00:00,@RichbonesE @GiuseppeConteIT Soprattutto il nostro Galoppini che non riesce proprio a nominare il nano mummificato di Arcore,Marcell78225090
2022-07-21 09:56:02+00:00,@diStasioStefano @dottorbarbieri Se vedete il nano a Venezia buttatelo in canale,Ansia04785020
2022-07-21 09:55:52+00:00,"@moenia_mundi @dorinileonardo @CarloCalenda Sono stanco dei ""se no arriva Tamerlano"", ""Tizio è il meno peggio"", ecc.. E comunque Renzi è di varie spanne superiore a chiunque altro: è l' unico politico italiano che si avvicini alle qualità del mio barboncino nano ! Voterò per lui, sperando che (segue)",MAKEFREEUS
2022-07-21 09:55:22+00:00,"Piangi di più, nano maledetto.",Paolo3_P
2022-07-21 09:55:17+00:00,questo pezzo di merda nano lascia forza mafia... scommettiamo che se ne va dritto verso il #PD ? https://t.co/UtI75XA08D,EMemelli
2022-07-21 09:54:28+00:00,Anche il nano malefico ha lasciato FI 💀,milfland__
2022-07-21 09:54:22+00:00,@Agenzia_Ansa 🤣🤣🤣🤣🤣🤣 ma vattene nano malefico https://t.co/eG9IBl02ir,lenisa_agostino
2022-07-21 09:54:09+00:00,"@NBAAntoo @Rogorah @siclaa @skyrzeh mai avuto lo smalto, tu ciccione dalla nascita",ATKszyma
2022-07-21 09:53:24+00:00,"@alessiomagno1 Anche il nano pedofilo ha contribuito alla decadenza morale e culturale dell'Italia, cosa che poi ha generato la crescita esponenziale dei 5Cosi creati da quella mmerda di Grillo.",mmm19510
2022-07-21 09:53:17+00:00,"@GattaSulTetto @LiciaRonzulli L'ultima già se ne è andata, il nano lo lasciamo come ciondolino per le chiavi, lei tra non molto seguirà a ruota, visto che istiga all'assunzione dello Xanax.",Sweet_Cindy_99
