datetime,text,username
2022-07-21 10:10:16+00:00,ahhh ecco dove avevo visto il pelato di bleach https://t.co/VuqMLbXbDM,mrspenguindrum
2022-07-21 10:09:09+00:00,@AlexBazzaro Dove se ne va insieme al nano?,pupidda39
2022-07-21 10:08:04+00:00,@borghi_claudio Champagne per tutti! Il nano licenziato!🥳🥳🥳🥳🥳🥳,BPatbra
2022-07-21 10:08:03+00:00,però su namjoon posso accettarlo lui sta benissimo anche pelato.........,romangoventi
2022-07-21 10:06:40+00:00,Finalmente dopo la Gelmini anche il nano malefico Brunetta che voleva torturare i no vax va via e sicuramente va nel PD! A non risentirci più! #MovimentOnesti https://t.co/ZBQptNdNhC,ClaudioDeglinn2
2022-07-21 10:06:38+00:00,@fattoquotidiano nano malefico anche tu come il bibitaro il circo togni ti aspetta,frances66170579
2022-07-21 10:05:52+00:00,@Leonard1306___ Intendi uno al giorno... di tamponi anali. E poi comunque... secondo megli piace al nano di merda,RezdoraLayla
