datetime,text,username
2022-07-21 15:48:30+00:00,"@cecchignola71 @bravimabasta brava! così le 4💩💩💩fasciste voteranno @GiorgiaMeloni e ci ritroveremo tutti con la camicia nera o il cappuccio bianco a ciucciar rosari come il cazzaro..
qualsiasi cosa ma non 'sti criminali..
non è che la melonA di @FratellidItalia puzzi di meno di quella del nano di arcore..",mauriziokomar
2022-07-21 15:47:16+00:00,"@PieroPelu Tutta la storia è una grassa bugia…
A casa a casa El Drago !!!!",Marco49922370
2022-07-21 15:46:14+00:00,"Il caro Giorgetti che abbraccia Draghi dopo il discorso,non ho parole per descrivere la viltà di questo personaggio,dimissioni subito con quell' obeso del suo capo.
G",Marilyvetro
2022-07-21 15:46:00+00:00,"@michelevnz Come mi stai facendo sentire importante tu, nessuna mai.
Gongolo (che non è l'ottavo nano)",Markus_vnz
