datetime,text,username
2022-07-20 16:37:29+00:00,"Però '7 chili in 7 giorni' sul Cine 34 mi sta facendo tagliare, onesto ahahah classicone! La situazione mia in pratica, di ciccione pentito da una vita che vorrebbe dimagrire e non riesce mai ahahahahah",distopikwkx
2022-07-20 16:36:38+00:00,@giollanni Pensavo tu quando ripensi alla volta in cui hai scritto sale grasso,simonesacq
2022-07-20 16:35:51+00:00,"@LouGirardiReal Mio pelato, x questo che ti voglio bene, hai fatto questo tweet così comunque andrà tu sei a posto. 😂💪",Elio63087064
2022-07-20 16:35:18+00:00,@DanteCG_ART E chi l'ha detto? Dove sta scritto? E perché non mi multano che ci facciamo una grassa risata?,sardum
2022-07-20 16:33:44+00:00,"""Il puttaniere di Arcore"" e amico di Putin nega la fiducia a Draghi perché la mozione l'ha proposta Casini, che ""è stato eletto con la sinistra"".
Casini, alleato storico del nano, ""di sinistra"".
Che il diavolo ti porti.",silvio_garofalo
2022-07-20 16:29:37+00:00,Schira è un giornalista come lo è quel pelato di Chirico. Pagliacci loro e chi li segue ahahah.,LeCopse96
2022-07-20 16:28:21+00:00,bullying ad un loro stesso membro che probabilmente non ha nemmeno coscienza del fatto che lui è vittima di bullismo capito cioè che cazzo è il bullismo è tale solo a scuola ma se dico di fronte alle telecamere che sei grasso ad un mio membro allora è tutto divertente??? mh,orbitingnamjoon
