datetime,text,username
2022-07-21 09:48:21+00:00,@la_nana_bianca Ciao Cri😘... andiamo qualche mese in Alaska al fresco!😅,lasognatrice02
2022-07-21 09:48:03+00:00,@FedericaPito grassa? ti scoperei per giorni interi,antoniantoni311
2022-07-21 09:47:59+00:00,@AntonelloAng @myrtamerlino Adesso sto nano di merda li voglio vedere in giro senza scorta .poi vediamo dove gli mettono i tamponi,Riccard29729642
2022-07-21 09:47:17+00:00,"@dottorbarbieri Il nano malefico andasse a zappare, visto che con i tamponi voleva rendere lo stress agli italiani ,gli umani eh Brunetta immagina se hai davanti Dio 👁",ElKrish3
2022-07-21 09:47:16+00:00,"@MattOneMouse Precisiamo che è un orchetto , meglio noto come Goblin in altre dimensioni fantasy, e non un nano.",r64479688
2022-07-21 09:47:14+00:00,Il nano e la inutile Gelmini lasciano forza Italia. Nascondere di essere piddini non era più fattibile...,blanchewitch17
2022-07-21 09:46:42+00:00,"@dottorbarbieri Ciao, non ci mancherai nano malefico.",ezeta67
2022-07-21 09:46:26+00:00,@dottorbarbieri Che lasci anche la vita terrena il nano di merda del demonio.,unfruitfruitful
2022-07-21 09:46:14+00:00,"Pare che si sia candidato nel ""partito"" di #Biancaneve come l'ottavo nano il #carognoso https://t.co/tCEIEH8d4s",montagna02
2022-07-21 09:45:40+00:00,@SIPARISipari Ci sono altri 10 che stanno scrivendo lettere e credimi questi sono solo alcuni commenti che troverai sulle pagine fb del nano e dei suoi sudditi! https://t.co/nqLWYg8YmF,colombomauro
2022-07-21 09:45:24+00:00,"@fattoquotidiano Cazzo, anche il nano",GiorgioPiazzano
2022-07-21 09:44:57+00:00,@borghi_claudio Brunetta = nano di merda,CruxCristore
2022-07-21 09:44:48+00:00,"@EsercitoCrucian Cazzo …, anche il nano?",GiorgioPiazzano
2022-07-21 09:44:27+00:00,"@GiorgiaMeloni @FratellidItalia Sei una nana rispetto a Draghi e non tanto per la statura, voglio vedere cosa sei capace di fare, buffona!",EmiliaBalestri1
2022-07-21 09:44:23+00:00,@borghi_claudio E vaiiiiiii fuori anche il nano FI sta ridiventando interessante,CruxCristore
2022-07-21 09:43:54+00:00,@Agenzia_Ansa Ciao nano malefico. https://t.co/2Z2D2a2Eo6,MircoBazzucchi
2022-07-21 09:43:52+00:00,@fratotolo2 io lo ricorderò soprattutto come il peggior nano da giardino che la politica abbia mai avuto,mimmomolinari
