datetime,text,username
2022-07-21 10:09:09+00:00,@AlexBazzaro Dove se ne va insieme al nano?,pupidda39
2022-07-21 10:08:04+00:00,@borghi_claudio Champagne per tutti! Il nano licenziato!🥳🥳🥳🥳🥳🥳,BPatbra
2022-07-21 10:08:03+00:00,però su namjoon posso accettarlo lui sta benissimo anche pelato.........,romangoventi
2022-07-21 10:06:40+00:00,Finalmente dopo la Gelmini anche il nano malefico Brunetta che voleva torturare i no vax va via e sicuramente va nel PD! A non risentirci più! #MovimentOnesti https://t.co/ZBQptNdNhC,ClaudioDeglinn2
2022-07-21 10:06:38+00:00,@fattoquotidiano nano malefico anche tu come il bibitaro il circo togni ti aspetta,frances66170579
2022-07-21 10:05:52+00:00,@Leonard1306___ Intendi uno al giorno... di tamponi anali. E poi comunque... secondo megli piace al nano di merda,RezdoraLayla
2022-07-21 10:05:39+00:00,@Adnkronos lascerà un vuoto grande quanto lui... nano!,GSaletnich
2022-07-21 10:04:49+00:00,"@ComunistaRosso C'hanno tortore e serpenti, maghi ed equilibristi, domatori de lombrichi e pagliacci. C'hanno pure la donna e l'omo cannone... mancava er nano.",ziopierpa
2022-07-21 10:04:33+00:00,@fattoquotidiano Ma vattene nano malefico #BRUNETTADIMETTITI,Acn2014Mauro
2022-07-21 10:04:18+00:00,@fattoquotidiano Vai affanculo nano malefico,Pier66375173
2022-07-21 10:04:08+00:00,"@t_tonii @ciorancore @svirgola2 Eureka! È una Schefflera arboricola e, come sospettavo, è una pianta tropicale di origine asiatica (detta anche “ombrello nano”).",fearofyou
2022-07-21 10:03:50+00:00,cosa eri ciccione? @JHarden13 https://t.co/YpiWuMR7Iq,nickomescudi2
2022-07-21 10:01:36+00:00,devo continuare nana,azzurrajess
2022-07-21 10:00:57+00:00,"@GiovanniToti @renatobrunetta Ma certo,prenditi il nano.",ESSelisabetta
2022-07-21 10:00:47+00:00,"@FedericaPito Tutt'altro che grassa, direi che sei in piena forma e anche ben fatta. Buongiorno",Giancar63434921
2022-07-21 10:00:30+00:00,"@Cristianocacci7 @Adnkronos Certo un nano che parla de ""ristretti e appiattiti"" fa ride",Tuseinatagrande
2022-07-21 10:00:16+00:00,@MariangelaSalv5 @MetalHe69092042 Farà il nano mastro 😂,blanchewitch17
