datetime,text,username,target
2022-07-20 16:42:44+00:00,"@matteosalvinimi Più buffoni e paravento di così non si può! Fino a ieri eravate pronti a fare le scarpe al banchiere e adesso, pur di mantenere la poltrona ben saldata sotto il vostro grasso deretano, vi sottomettete in questo modo, mi ripeto, buffoni e paravento!!!",Anakintech,0
2022-07-20 16:41:40+00:00,"@_yelle_ Si vedo lo stai facendo tu stessa scommetto che sei cessa e grassa pure tu, per quello ti sei offesa a vedere i commenti a vacca power, probabilmente vi assomigliate",piccolalolitaa,1
2022-07-20 16:40:35+00:00,"@Stronza caro ciccione,
ricordo recenti estati perfino fresche e piovose
grandissimo stronzo

dateme retta...
""Guardate quest'uomo: sembra un deficiente e parla come un deficiente, ma non lasciatevi ingannare: è veramente deficiente!“©
(Groucho Marx) https://t.co/SE9CGD6tMS",pef_lebowski,1
2022-07-20 16:39:47+00:00,@berlusconi E adesso i moderati e i governisti di Forza Italia che fanno? Seguiranno ancora il vecchio nano rimbambito e amico di Putin che si è appiattito sulla linea populista e estremista del mentecatto e servo di Putin Salvini?,LondonUcraina76,1
